satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,consensus_score
1636.4,225,1336.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,7.27288888888889,5.937777777777778,1.2248502994011976,0.19047619047619047,0.8412138320395202,0.19747899159654647,0.20883534136518228,0.24545454545439668,0.2238267148013286,0.6666666666666666
1687.4,275,1405.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,6.136,5.109090909090909,1.200996441281139,0.19047619047619047,0.8059280169371913,0.20588235294108034,0.22489959839327323,0.24545454545439668,0.23465703971107033,0.5
1740.4,278,1445.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,6.2604316546762595,5.197841726618705,1.2044290657439447,0.21428571428571427,0.8038108680310515,0.2100840336133473,0.22891566265029598,0.25757575757560147,0.24548736462081203,0.6666666666666666
1843.4,291,1552.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,6.334707903780069,5.333333333333333,1.1877577319587629,0.21428571428571427,0.7946365561044461,0.23109243697468204,0.24497991967838692,0.27272727272710745,0.2563176895305537,0.6666666666666666
1986.0,316,1724.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,6.284810126582278,5.455696202531645,1.1519721577726219,0.16666666666666666,0.7769936485532816,0.26890756302508456,0.3574297188750235,0.3242424242422277,0.24548736462081203,0.5
2318.0,380,2170.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,6.1,5.7105263157894735,1.0682027649769585,0.2857142857142857,0.7318278052223006,0.3487394957981565,0.42570281124441006,0.3818181818179504,0.321299638989004,0.6666666666666666
2527.0,381,2247.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,6.63254593175853,5.897637795275591,1.1246105919003115,0.2619047619047619,0.7311220889202541,0.3655462184872243,0.4297188755014328,0.40909090909066115,0.3176895306857567,0.6666666666666666
2532.0,386,2234.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,6.5595854922279795,5.787564766839378,1.1333930170098478,0.2619047619047619,0.7275935074100212,0.3571428571426904,0.41365461847334184,0.40909090909066115,0.3357400722019929,0.8333333333333334
2437.0,389,2283.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,6.26478149100257,5.868894601542417,1.067455102934735,0.2619047619047619,0.7254763585038815,0.35294117647042345,0.43775100401547823,0.40909090909066115,0.35018050541498186,0.8333333333333334
2442.0,394,2270.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,6.197969543147208,5.761421319796955,1.0757709251101322,0.2619047619047619,0.7219477769936485,0.34453781512588955,0.4216867469873873,0.40909090909066115,0.36823104693121805,0.6666666666666666
