satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,count,group_base,group_label
1636.4,225,1336.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,7.27288888888889,5.937777777777778,1.2248502994011976,0.19047619047619047,0.8412138320395202,0.19747899159654647,0.20883534136518228,0.24545454545439668,0.2238267148013286,2,Matches = 2,Matches = 2 (n=12)
1687.4,275,1405.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,6.136,5.109090909090909,1.200996441281139,0.19047619047619047,0.8059280169371913,0.20588235294108034,0.22489959839327323,0.24545454545439668,0.23465703971107033,2,Matches = 2,Matches = 2 (n=12)
1740.4,278,1445.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,6.2604316546762595,5.197841726618705,1.2044290657439447,0.21428571428571427,0.8038108680310515,0.2100840336133473,0.22891566265029598,0.25757575757560147,0.24548736462081203,2,Matches = 2,Matches = 2 (n=12)
1843.4,291,1552.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,6.334707903780069,5.333333333333333,1.1877577319587629,0.21428571428571427,0.7946365561044461,0.23109243697468204,0.24497991967838692,0.27272727272710745,0.2563176895305537,2,Matches = 2,Matches = 2 (n=12)
1986.0,316,1724.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,6.284810126582278,5.455696202531645,1.1519721577726219,0.16666666666666666,0.7769936485532816,0.26890756302508456,0.3574297188750235,0.3242424242422277,0.24548736462081203,2,Matches = 2,Matches = 2 (n=12)
2437.0,389,2283.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,6.26478149100257,5.868894601542417,1.067455102934735,0.2619047619047619,0.7254763585038815,0.35294117647042345,0.43775100401547823,0.40909090909066115,0.35018050541498186,2,Matches = 2,Matches = 2 (n=12)
2449.0,396,2314.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,6.184343434343434,5.843434343434343,1.0583405358686258,0.2619047619047619,0.7205363443895554,0.36134453781495735,0.4297188755014328,0.40909090909066115,0.35018050541498186,2,Matches = 2,Matches = 2 (n=12)
2683.0,397,2394.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,6.758186397984887,6.030226700251889,1.120718462823726,0.2857142857142857,0.7198306280875089,0.390756302520826,0.44979919678654645,0.4363636363633719,0.33935018050524013,2,Matches = 2,Matches = 2 (n=12)
2658.0,404,2396.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,6.579207920792079,5.930693069306931,1.1093489148580968,0.2619047619047619,0.7148906139731828,0.38655462184855904,0.4538152610435692,0.4333333333330707,0.33212996389874566,2,Matches = 2,Matches = 2 (n=12)
2593.0,405,2430.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,6.402469135802469,6.0,1.0670781893004115,0.2857142857142857,0.7141848976711362,0.37815126050402514,0.45783132530059195,0.4363636363633719,0.37184115523446526,2,Matches = 2,Matches = 2 (n=12)
2656.9,419,2457.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,6.341050119331743,5.863961813842482,1.0813593813593814,0.3333333333333333,0.7043048694424842,0.36974789915949124,0.48594377509975106,0.4363636363633719,0.382671480144207,2,Matches = 2,Matches = 2 (n=12)
2814.0,420,2543.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,6.7,6.054761904761905,1.1065670467951239,0.2857142857142857,0.7035991531404375,0.4117647058821607,0.4738955823286829,0.46060606060578146,0.3537906137182291,2,Matches = 2,Matches = 2 (n=12)
