satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score_topsis
2656.9,419,2457.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,6.341050119331743,5.863961813842482,1.0813593813593814,0.3333333333333333,0.7043048694424842,0.36974789915949124,0.48594377509975106,0.4363636363633719,0.382671480144207,0.643460188654797
2683.0,397,2394.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,6.758186397984887,6.030226700251889,1.120718462823726,0.2857142857142857,0.7198306280875089,0.390756302520826,0.44979919678654645,0.4363636363633719,0.33935018050524013,0.6214812375618095
2814.0,420,2543.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,6.7,6.054761904761905,1.1065670467951239,0.2857142857142857,0.7035991531404375,0.4117647058821607,0.4738955823286829,0.46060606060578146,0.3537906137182291,0.6189549763351452
2593.0,405,2430.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,6.402469135802469,6.0,1.0670781893004115,0.2857142857142857,0.7141848976711362,0.37815126050402514,0.45783132530059195,0.4363636363633719,0.37184115523446526,0.6064651422734115
2318.0,380,2170.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,6.1,5.7105263157894735,1.0682027649769585,0.2857142857142857,0.7318278052223006,0.3487394957981565,0.42570281124441006,0.3818181818179504,0.321299638989004,0.6004203140737818
2532.0,386,2234.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,6.5595854922279795,5.787564766839378,1.1333930170098478,0.2619047619047619,0.7275935074100212,0.3571428571426904,0.41365461847334184,0.40909090909066115,0.3357400722019929,0.5948288139228359
2527.0,381,2247.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,6.63254593175853,5.897637795275591,1.1246105919003115,0.2619047619047619,0.7311220889202541,0.3655462184872243,0.4297188755014328,0.40909090909066115,0.3176895306857567,0.5944730230551398
2658.0,404,2396.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,6.579207920792079,5.930693069306931,1.1093489148580968,0.2619047619047619,0.7148906139731828,0.38655462184855904,0.4538152610435692,0.4333333333330707,0.33212996389874566,0.5921865972708615
2442.0,394,2270.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,6.197969543147208,5.761421319796955,1.0757709251101322,0.2619047619047619,0.7219477769936485,0.34453781512588955,0.4216867469873873,0.40909090909066115,0.36823104693121805,0.5805344772664446
2437.0,389,2283.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,6.26478149100257,5.868894601542417,1.067455102934735,0.2619047619047619,0.7254763585038815,0.35294117647042345,0.43775100401547823,0.40909090909066115,0.35018050541498186,0.5798791365384294
