satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score
2683.0,397,2394.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,6.758186397984887,6.030226700251889,1.120718462823726,0.2857142857142857,0.7198306280875089,0.390756302520826,0.44979919678654645,0.4363636363633719,0.33935018050524013,1.1604516573871633
2656.9,419,2457.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,6.341050119331743,5.863961813842482,1.0813593813593814,0.3333333333333333,0.7043048694424842,0.36974789915949124,0.48594377509975106,0.4363636363633719,0.382671480144207,1.155941856771736
2814.0,420,2543.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,6.7,6.054761904761905,1.1065670467951239,0.2857142857142857,0.7035991531404375,0.4117647058821607,0.4738955823286829,0.46060606060578146,0.3537906137182291,1.1365028451897594
2532.0,386,2234.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,6.5595854922279795,5.787564766839378,1.1333930170098478,0.2619047619047619,0.7275935074100212,0.3571428571426904,0.41365461847334184,0.40909090909066115,0.3357400722019929,1.1228719180461537
1740.4,278,1445.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,6.2604316546762595,5.197841726618705,1.2044290657439447,0.21428571428571427,0.8038108680310515,0.2100840336133473,0.22891566265029598,0.25757575757560147,0.24548736462081203,1.0860248508709989
2527.0,381,2247.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,6.63254593175853,5.897637795275591,1.1246105919003115,0.2619047619047619,0.7311220889202541,0.3655462184872243,0.4297188755014328,0.40909090909066115,0.3176895306857567,1.059413933477499
2702.0,418,2416.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47,6.464114832535885,5.779904306220096,1.1183774834437086,0.23809523809523808,0.7050105857445307,0.36974789915949124,0.441767068272501,0.4363636363633719,0.3754512635377125,1.0340456292025668
2658.0,404,2396.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,6.579207920792079,5.930693069306931,1.1093489148580968,0.2619047619047619,0.7148906139731828,0.38655462184855904,0.4538152610435692,0.4333333333330707,0.33212996389874566,1.0293088255488572
1843.4,291,1552.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,6.334707903780069,5.333333333333333,1.1877577319587629,0.21428571428571427,0.7946365561044461,0.23109243697468204,0.24497991967838692,0.27272727272710745,0.2563176895305537,1.0254180872159429
1636.4,225,1336.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,7.27288888888889,5.937777777777778,1.2248502994011976,0.19047619047619047,0.8412138320395202,0.19747899159654647,0.20883534136518228,0.24545454545439668,0.2238267148013286,0.9943139131644435
