effort	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130
805	10121.63495	0	0	0	0	0	0	465	0	0	0	0	240	0	620	0	0	134.0773809	0	0	363.6363636	0	0	0	0	0	117.1428571	3.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	3.57142857	0	10	0	0	0	0	433.3333334	0	95.14285713	0	40	0	121.4285714	0	0	0	0	0	0	28.57142857	0	0	0	0	32.14285715	44.44444444	0	0	0	0	0	4.285714286	560	0	0	215.5844156	144.2857143	0	0	2353.699634	0	0	0	0	0	0	680	0	0	0	130.7142857	34.28571429	0	75	0	0	0	0	0	0	0	0	1020	229.1666667	0	0	660	0	0	0	0	130	0	1.804511278	170	320	0	0	0	0	0	0	0	0	0	0	0	395.0310559	40.00000001	0
411	4415.616786	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	80.95238094	0	0	363.6363636	0	0	0	0	0	117.1428571	3.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	3.57142857	0	0	0	0	0	0	433.3333334	0	95.14285713	0	0	0	121.4285714	0	0	0	0	0	0	28.57142857	0	0	0	0	32.14285715	0	0	0	0	0	0	4.285714286	560	0	0	215.5844156	144.2857143	0	0	809.0842492	0	0	0	0	0	0	0	0	0	0	130.7142857	34.28571429	0	75	0	0	0	0	0	0	0	0	0	458.3333333	0	0	0	0	0	0	0	0	0	1.804511278	0	0	0	0	0	0	0	0	0	0	0	0	0	395.0310559	40.00000001	0
158	9545.370983	0	0	20	0	0	0	465	160	0	0	0	48	0	248	9.6	0	95.11904762	0	0	203.6363637	175	0	0	0	20	117.1428571	4.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	23.57142857	0	5	0	0	0	0	86.66666666	0	95.14285713	0	60	328	121.4285714	0	0	0	592	504	0	28.57142857	0	0	0	0	32.14285715	22.22222222	0	0	0	3	0	4.285714286	91	0	0	698.4935065	144.2857143	0	0	1169.494505	75	0	95.31914894	0	0	0	0	0	0	0	130.7142857	4.285714287	0	30	0	0	0	0	0	0	0	0	136	252.0833333	0	18	0	0	72	660	1340	39	0	1.804511278	0	320	0	0	0	132	0	0	0	0	0	0	0	418.0745341	40.00000001	0
276	9947.914503	0	0	20	0	0	0	465	160	0	0	0	48	0	248	9.6	0	95.11904762	0	0	21.81818182	175	0	0	0	20	117.1428571	4.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	23.57142857	0	5	0	0	0	0	520	0	95.14285713	0	0	328	121.4285714	0	0	0	592	504	0	28.57142857	0	0	0	0	32.14285715	22.22222222	0	0	0	3	0	4.285714286	91	0	0	698.4935065	144.2857143	0	0	1169.494505	75	0	384.680851	0	0	0	0	0	0	0	130.7142857	4.285714287	0	180	0	0	0	0	0	0	0	0	136	343.75	0	18	0	0	72	660	1340	39	0	1.804511278	0	0	0	0	0	132	0	0	0	0	0	0	0	418.0745341	40.00000001	0
189	14877.38269	0	0	20	0	0	0	0	160	0	0	0	48	0	248	33.6	0	24.28571428	0	0	21.81818182	175	0	0	0	20	117.1428571	4.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	23.57142857	0	5	0	0	0	0	86.66666666	7000	95.14285713	0	0	328	121.4285714	0	300	0	592	504	0	28.57142857	0	0	0	0	32.14285715	0	0	0	0	3	0	4.285714286	91	0	0	698.4935065	144.2857143	0	0	1169.494505	75	0	44.25531915	0	0	0	0	0	0	0	130.7142857	4.285714287	0	30	0	0	0	0	0	0	0	0	136	206.25	0	18	0	0	72	0	1340	39	0	1.804511278	0	0	0	0	0	132	0	0	0	0	0	0	0	302.8571428	40.00000001	0
76	8534.266749	0	0	20	0	0	0	0	160	0	0	0	48	0	248	33.6	0	165.9523809	0	0	21.81818182	175	0	0	0	20	117.1428571	4.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	123.5714286	0	5	0	0	0	0	86.66666666	0	95.14285713	0	0	328	121.4285714	0	600	0	592	504	0	28.57142857	0	0	0	0	32.14285715	0	0	0	0	3	0	4.285714286	91	0	0	698.4935065	144.2857143	0	0	1169.494505	75	0	44.25531915	0	0	0	0	0	0	0	130.7142857	4.285714287	0	30	0	0	0	0	0	0	0	0	136	206.25	0	18	0	0	72	0	1340	39	0	1.804511278	0	0	0	0	0	132	0	0	0	0	0	0	0	418.0745341	40.00000001	0
9	7251.196794	0	0	20	0	0	0	0	160	0	0	0	48	0	248	33.6	0	24.28571428	0	0	21.81818182	175	0	0	0	20	117.1428571	4.571428571	0	60	28.57142857	114.2857143	0	2.857142857	0	0	0	0	0	0	23.57142857	0	5	0	0	0	0	86.66666666	0	95.14285713	0	0	328	121.4285714	0	0	0	592	504	0	28.57142857	0	0	0	0	32.14285715	0	0	0	0	3	0	4.285714286	91	0	0	698.4935065	144.2857143	0	0	912.0586081	75	0	44.25531915	0	0	0	0	0	0	0	130.7142857	4.285714287	0	30	0	0	0	0	0	0	0	0	136	137.5	0	18	0	0	72	0	1340	39	0	1.804511278	0	0	0	0	0	132	0	0	0	0	0	0	0	302.8571428	40.00000001	0
4	25.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	464.0638298	0	0	0	0	0	0	155	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	51.06382979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.02127659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
