effort c1 c2 c3 c4 c5
16 10 8 6 3 2
19 8 6 5 3 1
16 6 5 4 2 1
7 7 6 4 2 2
19 7 6 4 3 2
15 7 5 4 3 1
8 7 6 4 3 2
10 10 8 6 3 2
6 9 7 5 4 2
18 7 6 4 2 2
15 10 8 6 4 3
12 11 9 7 4 2
16 11 9 7 4 2
20 8 7 5 3 2
9 8 7 5 3 2
4 10 8 6 4 2
16 8 7 5 3 2
2 9 7 6 4 2
9 12 10 7 4 2
3 10 8 6 3 2
12 17 14 10 6 3
4 9 7 6 4 2
2 10 8 6 3 2
7 12 10 7 4 3
15 9 7 6 4 2
8 10 8 6 4 2
20 7 6 4 3 2
9 10 8 6 4 2
11 9 7 6 4 2
5 8 6 4 3 1
18 18 15 11 6 5
6 9 7 6 3 1
2 8 6 5 3 2
16 9 7 6 3 1
8 9 7 6 3 1
12 11 9 6 4 4
18 9 7 6 3 1
5 9 7 6 3 1
6 10 8 6 4 2
14 13 11 7 4 2
15 10 8 6 4 2
20 9 7 6 4 2
14 9 7 6 4 2
25 19 16 12 7 3
12 13 11 7 4 4
12 19 16 11 7 1
12 24 20 15 8 6
8 19 16 11 7 1
19 15 13 8 4 1
25 18 15 11 7 4
9 13 11 7 4 4
4 9 7 5 3 1
17 18 15 11 7 4
30 23 19 14 9 5
34 26 22 15 9 4
25 17 14 10 6 3
17 12 10 7 4 3
17 12 10 7 4 3
23 16 13 9 6 5
35 27 22 16 10 5
36 27 23 17 10 6
32 25 20 14 9 4
19 13 11 8 4 3
28 21 17 12 8 4
21 16 13 9 6 2
6 8 6 4 2 1
13 11 9 6 4 2
11 10 8 6 3 1
18 13 11 7 4 3
19 14 12 8 4 3
24 17 14 10 6 3
30 23 19 14 9 5
30 23 19 14 9 5
23 17 14 10 6 4
23 17 14 10 6 4
30 23 19 14 9 5
26 20 16 12 7 3
35 26 21 15 10 3
22 16 13 9 6 4
15 11 9 6 4 3
28 21 17 12 8 4
31 24 20 14 9 4
16 12 10 7 4 3
7 8 7 5 3 1
13 11 9 7 4 2
22 16 13 9 6 4
33 25 21 15 9 3
22 16 13 9 6 4
11 10 8 6 3 1
9 10 8 6 3 1
9 10 8 6 3 1
15 11 9 6 4 3
15 11 9 6 4 3
14 11 9 6 4 4
10 10 8 6 4 2
3 6 5 3 2 1
