effort	c1	c2	c3	c4	c5	c6	c7	c8
730	63	45	42	63	0	14	35	49
1350	42	45	54	45	0	7	56	49
3780	133	70	96	117	0	84	147	126
830	63	15	24	18	63	14	35	28
3055	56	60	48	90	35	105	42	70
1035	63	10	48	63	28	7	28	49
770	63	45	30	63	63	14	49	63
890	63	45	36	72	63	28	42	35
710	63	45	30	81	0	21	21	14
1265	14	30	12	45	0	35	49	35
1065	21	45	12	36	0	42	28	14
730	63	30	54	72	0	56	49	42
540	63	45	48	63	35	56	35	35
1070	35	25	48	36	63	63	35	28
400	35	25	24	18	28	49	35	56
1600	28	45	24	54	35	49	21	42
1150	21	25	24	18	28	42	14	28
775	14	45	30	27	0	49	35	28
690	63	45	48	9	0	7	42	42
610	63	45	48	45	0	56	14	42
540	63	10	6	63	0	42	14	63
920	42	15	6	54	0	49	42	63
