satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,cluster,cluster_str,group_label
1480.4,209,1189.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,7.0832535885167465,5.688995215311005,1.2450798990748528,0.16666666666666666,0.8525052928722654,0.17226890756294477,0.18875502008006861,0.21818181818168594,0.2021660649818452,1,1,Cluster 1 (n=40)
1388.0,212,1328.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,6.547169811320755,6.264150943396227,1.0451807228915662,0.16666666666666666,0.8503881439661256,0.19327731092427952,0.21686746987922775,0.23333333333319192,0.22021660649808136,1,1,Cluster 1 (n=40)
1441.0,215,1368.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,6.702325581395349,6.362790697674418,1.0533625730994152,0.19047619047619047,0.8482709950599859,0.19747899159654647,0.2208835341362505,0.24545454545439668,0.2310469314078231,1,1,Cluster 1 (n=40)
1636.4,225,1336.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,7.27288888888889,5.937777777777778,1.2248502994011976,0.19047619047619047,0.8412138320395202,0.19747899159654647,0.20883534136518228,0.24545454545439668,0.2238267148013286,1,1,Cluster 1 (n=40)
1544.0,228,1475.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,6.771929824561403,6.469298245614035,1.046779661016949,0.19047619047619047,0.8390966831333804,0.2184873949578812,0.23694779116434145,0.2606060606059027,0.2418772563175648,1,1,Cluster 1 (n=40)
1572.0,273,1433.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5.758241758241758,5.249084249084249,1.0969993021632938,0.16666666666666666,0.8073394495412844,0.2184873949578812,0.3012048192767052,0.26969696969680623,0.2238267148013286,1,1,Cluster 1 (n=40)
1687.4,275,1405.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,6.136,5.109090909090909,1.200996441281139,0.19047619047619047,0.8059280169371913,0.20588235294108034,0.22489959839327323,0.24545454545439668,0.23465703971107033,1,1,Cluster 1 (n=40)
1740.4,278,1445.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,6.2604316546762595,5.197841726618705,1.2044290657439447,0.21428571428571427,0.8038108680310515,0.2100840336133473,0.22891566265029598,0.25757575757560147,0.24548736462081203,1,1,Cluster 1 (n=40)
1648.0,281,1584.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18,5.864768683274021,5.637010676156583,1.0404040404040404,0.21428571428571427,0.8016937191249118,0.23109243697468204,0.2570281124494551,0.27272727272710745,0.2635379061370482,1,1,Cluster 1 (n=40)
1843.4,291,1552.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,6.334707903780069,5.333333333333333,1.1877577319587629,0.21428571428571427,0.7946365561044461,0.23109243697468204,0.24497991967838692,0.27272727272710745,0.2563176895305537,1,1,Cluster 1 (n=40)
