effort	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130
805	0	0	0	0	0	0	15	0	0	0	0	20	0	20	0	0	7.886904761	0	0	10.1010101	0	0	0	0	0	2.857142857	3.571428571	0	8.571428571	2.857142857	7.142857143	0	2.857142857	0	0	0	0	0	0	0.714285714	0	10	0	0	0	0	16.66666667	0	2.571428571	0	10	0	3.571428571	0	0	0	0	0	0	5.714285714	0	0	0	20	2.142857143	22.22222222	0	0	0	0	0	4.285714286	16	0	0	1.298701299	1.428571429	0	0	9.377289379	0	0	0	0	0	0	20	0	0	0	2.142857143	11.42857143	0	5	0	0	0	0	0	0	0	0	30	4.166666667	0	0	10	0	0	0	0	10	0	0.902255639	5	10	0	0	0	0	0	0	0	0	0	0	0	7.453416149	1.428571429	0
411	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4.761904761	0	0	10.1010101	0	0	0	0	0	2.857142857	3.571428571	0	8.571428571	2.857142857	7.142857143	0	2.857142857	0	0	0	0	0	0	0.714285714	0	0	0	0	0	0	16.66666667	0	2.571428571	0	0	0	3.571428571	0	0	0	0	0	0	5.714285714	0	0	0	10	2.142857143	0	0	0	0	0	0	4.285714286	16	0	0	1.298701299	1.428571429	0	0	3.223443224	0	0	0	0	0	0	0	0	0	0	2.142857143	11.42857143	0	5	0	0	0	0	0	0	0	0	0	8.333333333	0	0	0	0	0	0	0	0	0	0.902255639	0	0	0	0	0	0	0	0	0	0	0	0	0	7.453416149	1.428571429	0
784	0	0	100	0	0	0	30	50	0	0	0	20	0	40	30	0	23.80952381	0	0	8.080808081	25	0	0	0	50	14.28571429	22.85714286	0	42.85714286	14.28571429	35.71428571	0	14.28571429	0	0	0	0	0	0	43.57142857	0	25	0	0	0	0	33.33333333	50	12.85714286	0	15	40	17.85714286	0	60	0	40	40	0	28.57142857	0	0	0	20	10.71428571	22.22222222	0	0	0	15	0	21.42857143	13	0	0	21.03896104	7.142857144	0	0	22.27106227	25	0	38.29787234	0	0	0	0	0	0	0	10.71428572	7.142857145	0	20	0	0	0	0	0	0	0	0	20	20.83333333	0	30	0	0	90	40	100	15	0	4.511278195	0	10	0	0	0	20	0	0	0	0	0	0	0	35.0931677	7.142857145	100
133	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	5.319148936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.18181818	0	0	0	0	0	0	21.27659574	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.063829787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454545455	0	0	0.473484849	0	0	0	0	0	0	0	0	3.636363636	2.727272727	0	0.909090909	4.545454545	2.272727273	2.228163993	0.909090909	0	0	0	0	0	0	0.454545455	0	0	0	0	0	0	0	0	1.636363636	0	5	2.727272727	3.181818182	0	0	0	0	2.727272727	0	0.909090909	0	0	0	0	6.363636364	0	0	0	0	0	0	1.818181818	0	0	0	2.066115703	5.454545455	0	0	1.165501166	0	0	0	0	0	0	0	0	4.545454545	0	2.727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909090909	0	0	0	0	0	0	0	0.669856459	0	0	0	0	0	0	0	1.818181818	0	0	0	0	0	0.395256917	1.818181818	0
138	0	0	0	0	0	0	0	0	100	0	0	10	0	1.81818182	12	0	1.893939396	0	0	0	0	0	0	0	0	14.54545454	10.90909091	0	3.636363636	18.18181818	9.090909092	8.912655971	23.63636364	0	0	0	0	0	0	1.81818182	0	0	0	0	0	0	0	0	6.545454544	0	0	15.90909091	12.72727273	0	0	0	0	10.90909091	0	3.636363636	0	0	0	0	25.45454545	0	0	0	0	0	0	7.272727272	0	0	0	15.53719008	21.81818182	0	0	4.662004663	0	0	0	0	0	0	0	0	18.18181818	0	10.90909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.636363636	0	0	0	0	0	0	0	2.679425836	0	0	0	0	100	0	0	7.272727272	0	0	0	0	0	1.581027668	7.272727272	0
206	0	0	0	0	0	0	6	5	0	0	0	30	0	0.454545455	12	0	3.598484849	0	0	10.1010101	20	0	0	0	0	3.636363636	2.727272727	0	0.909090909	4.545454545	2.272727273	2.228163993	0.909090909	0	0	0	0	0	30	0.454545455	0	25	0	0	0	0	0	10	1.636363636	0	0	2.727272727	3.181818182	0	10	0	0	2.727272727	0	0.909090909	0	0	0	0	6.363636364	11.11111111	0	0	0	0	0	1.818181818	2	0	0	2.066115703	5.454545455	0	0	6.293706292	0	0	0	0	0	0	20	0	4.545454545	0	2.727272727	20	0	0	0	0	0	0	0	0	0	0	20	12.5	0	0.909090909	0	0	0	10	0	15	0	0.669856459	0	10	0	0	0	20	0	1.818181818	0	0	0	0	0	0.395256917	1.818181818	0
124	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81818182	12	0	14.3939394	0	0	10.1010101	0	0	0	0	0	14.54545454	10.90909091	0	3.636363636	18.18181818	9.090909092	8.912655971	3.636363636	0	0	0	0	0	20	11.81818182	0	0	0	0	0	0	0	10	6.545454544	0	0	20.90909091	12.72727273	0	0	0	0	10.90909091	0	3.636363636	0	0	0	5	25.45454545	11.11111111	0	0	0	0	0	7.272727272	0	0	0	8.26446281	21.81818182	0	0	5.687645688	0	0	27.65957447	0	0	0	10	0	38.18181818	0	10.90909091	20	0	25	0	0	0	0	0	0	0	0	0	10.41666667	0	3.636363636	0	0	0	10	0	15	0	2.679425836	0	20	0	0	0	20	0	7.272727272	5	0	0	0	0	8.102766799	7.272727272	0
122	0	0	0	0	0	0	11	0	0	0	0	0	0	3.454545455	0	0	2.556818182	0	0	10.1010101	20	0	0	0	0	3.636363636	2.727272727	0	0.909090909	4.545454545	2.272727273	2.228163993	0.909090909	0	0	0	0	0	0	0.454545455	0	40	0	0	0	0	0	0	1.636363636	0	0	2.727272727	3.181818182	0	0	0	0	2.727272727	0	0.909090909	0	0	0	5	6.363636364	0	0	0	0	0	0	1.818181818	2	0	0	2.066115703	5.454545455	0	0	6.293706292	0	0	0	0	0	0	0	0	4.545454545	0	2.727272727	5	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0.909090909	25	0	10	10	0	15	0	0.669856459	0	15	0	0	0	20	0	1.818181818	0	0	0	0	0	0.395256917	1.818181818	0
415	0	0	0	0	0	0	7	15	0	0	0	0	0	11.25	0	0	16.40625	0	0	13.13131313	10	0	0	0	0	15	9.375000001	0	11.25	11.25	9.375	11.64215686	5.625	0	0	0	0	0	0	0	0	0	0	0	0	0	16.25	0	20.75	0	20	0	9.375	0	0	0	0	11.25	0	18.75	0	0	0	20	5.625	22.22222222	0	10	0	0	0	7.5	21	0	0	5.113636363	5	0	0	7.948717949	25	0	0	0	0	0	0	0	10	0	5.625	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	28.75	0	0	0	0	5.625	0	1.973684211	10	0	0	0	0	0	0	11.25	0	0	0	0	0	15.21739131	3.75	0
428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	0	0	0	0	0	5	0	0	0	0	0	3.75	0	0	1.302083333	0	0	0	0	0	0	0	0	5	3.125	0	3.75	3.75	3.125	3.06372549	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	2.083333333	0	2.25	0	0	0	3.125	0	0	0	0	3.75	0	6.25	0	0	0	0	1.875	0	0	0	0	0	0	2.5	0	0	0	1.704545454	2.5	0	0	1.282051282	0	0	0	0	0	0	0	0	0	0	11.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	0	0	1.875	0	0.657894737	0	0	0	0	0	0	0	3.75	0	0	0	0	0	2.173913044	1.25	0
38	0	0	0	0	0	0	0	5	0	0	0	0	0	3.75	5	0	1.302083333	0	0	0	0	0	0	0	0	5	3.125	0	3.75	3.75	3.125	3.06372549	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	2.083333333	0	2.25	0	0	0	3.125	0	0	0	0	3.75	0	6.25	0	0	0	0	1.875	0	0	0	0	0	0	2.5	0	0	0	1.704545454	2.5	0	0	1.282051282	0	0	0	0	0	0	0	0	0	0	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	0	0	1.875	0	0.657894737	0	0	0	0	0	0	0	3.75	0	0	0	0	0	2.173913044	1.25	0
419	0	0	0	0	0	0	12	10	0	0	0	0	0	7.5	0	0	6.770833333	0	0	0	0	0	0	0	0	10	6.25	0	7.5	7.5	6.25	30.6372549	8.75	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666667	0	4.5	0	5	15	6.25	0	0	0	60	7.5	0	12.5	0	0	0	0	3.75	0	0	0	0	15	0	5	6	0	0	3.409090909	5	0	0	5.128205128	15	0	0	0	0	0	0	0	0	0	3.75	10	0	10	0	0	0	0	0	0	0	0	10	4.166666667	0	15	12.5	0	0	10	0	18.75	0	1.315789474	0	10	0	0	0	20	0	7.5	0	0	0	0	0	4.347826087	2.5	0
75	0	0	0	0	0	0	0	5	0	0	0	0	0	3.75	0	0	1.302083333	0	0	0	0	0	0	0	0	5	3.125	0	3.75	3.75	3.125	3.06372549	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	2.083333333	0	2.25	0	5	0	3.125	0	0	0	0	3.75	0	6.25	0	0	0	0	1.875	0	0	0	0	0	0	2.5	0	0	0	1.704545454	2.5	0	0	1.282051282	0	0	0	0	0	0	0	0	0	0	1.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	0	0	1.875	0	0.657894737	0	0	0	0	0	0	0	53.75	0	0	0	0	0	2.173913044	1.25	0
444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0
143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0
35	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
