effort cv1 cv2 cv3 cv4 cu1 cu2 cu3 cu4
66 72 27 45 63 81 27 45 63
204 198 69 105 133 225 57 95 133
11 72 27 45 7 81 27 45 7
81 27 9 25 35 36 15 45 35
19 27 9 5 35 18 9 5 35
52 63 15 45 63 72 15 45 63
42 72 27 45 63 81 27 45 63
60 54 24 5 35 45 27 10 35
19 18 6 5 49 9 3 5 49
12 72 27 45 21 81 21 45 21
25 54 15 45 56 45 15 45 56
25 54 6 20 56 45 9 25 56
63 135 54 135 168 126 54 135 168
63 27 6 20 28 36 3 10 28
23 27 6 5 28 18 9 5 28
19 54 15 45 42 45 15 45 42
16 54 15 45 42 45 15 45 42
16 54 3 45 56 45 3 45 56
12 63 54 70 56 54 42 50 56
13 27 15 35 49 36 6 45 49
13 36 6 20 7 27 6 5 7
25 36 3 25 7 27 3 10 7
18 18 21 45 49 18 18 30 49
9 45 21 45 49 45 18 30 49
9 36 21 45 42 36 18 20 42
6 45 6 15 42 36 3 5 42
5 45 15 45 14 36 18 35 14
13 36 27 45 56 36 27 45 56
23 27 21 45 56 27 18 30 56
19 27 21 45 56 27 18 45 56
19 18 3 10 56 18 3 5 56
19 9 3 10 14 9 3 5 14
36 63 18 45 56 54 21 45 56
38 63 9 45 7 54 15 45 7
17 18 3 10 7 18 3 5 7
80 54 3 15 49 45 3 5 49
61 54 3 5 14 45 3 5 14
13 9 3 40 14 9 3 45 14
59 162 45 135 98 162 45 135 98
23 63 9 15 35 72 9 20 35
53 27 15 20 42 27 15 25 42
18 27 42 90 84 27 30 70 84
