id,consensus_score,support_count,support_names,in_consensus_0.50,in_consensus_0.75,in_consensus_0.90
43,1.0,6,domain;efficiency;hdbscan;kmediods;topsis;weight,True,True,True
44,1.0,6,domain;efficiency;hdbscan;kmediods;topsis;weight,True,True,True
48,1.0,6,domain;efficiency;hdbscan;kmediods;topsis;weight,True,True,True
49,1.0,6,domain;efficiency;hdbscan;kmediods;topsis;weight,True,True,True
39,0.8333333333333334,5,efficiency;hdbscan;kmediods;topsis;weight,True,True,False
40,0.8333333333333334,5,domain;efficiency;hdbscan;kmediods;topsis,True,True,False
45,0.8333333333333334,5,domain;efficiency;hdbscan;kmediods;topsis,True,True,False
13,0.6666666666666666,4,domain;hdbscan;kmediods;weight,True,False,False
17,0.6666666666666666,4,domain;hdbscan;kmediods;weight,True,False,False
19,0.6666666666666666,4,domain;hdbscan;kmediods;weight,True,False,False
37,0.6666666666666666,4,efficiency;hdbscan;kmediods;topsis,True,False,False
38,0.6666666666666666,4,hdbscan;kmediods;topsis;weight,True,False,False
41,0.6666666666666666,4,efficiency;hdbscan;kmediods;topsis,True,False,False
42,0.6666666666666666,4,domain;efficiency;hdbscan;kmediods,True,False,False
16,0.5,3,domain;hdbscan;kmediods,True,False,False
25,0.5,3,domain;hdbscan;kmediods,True,False,False
47,0.5,3,hdbscan;kmediods;weight,True,False,False
10,0.3333333333333333,2,hdbscan;kmediods,False,False,False
11,0.3333333333333333,2,hdbscan;kmediods,False,False,False
12,0.3333333333333333,2,hdbscan;kmediods,False,False,False
14,0.3333333333333333,2,hdbscan;kmediods,False,False,False
15,0.3333333333333333,2,hdbscan;kmediods,False,False,False
18,0.3333333333333333,2,hdbscan;kmediods,False,False,False
20,0.3333333333333333,2,hdbscan;kmediods,False,False,False
21,0.3333333333333333,2,hdbscan;kmediods,False,False,False
22,0.3333333333333333,2,hdbscan;kmediods,False,False,False
23,0.3333333333333333,2,hdbscan;kmediods,False,False,False
24,0.3333333333333333,2,hdbscan;kmediods,False,False,False
26,0.3333333333333333,2,hdbscan;kmediods,False,False,False
27,0.3333333333333333,2,hdbscan;kmediods,False,False,False
28,0.3333333333333333,2,hdbscan;kmediods,False,False,False
29,0.3333333333333333,2,hdbscan;kmediods,False,False,False
30,0.3333333333333333,2,hdbscan;kmediods,False,False,False
31,0.3333333333333333,2,hdbscan;kmediods,False,False,False
32,0.3333333333333333,2,hdbscan;kmediods,False,False,False
33,0.3333333333333333,2,hdbscan;kmediods,False,False,False
34,0.3333333333333333,2,hdbscan;kmediods,False,False,False
35,0.3333333333333333,2,hdbscan;kmediods,False,False,False
36,0.3333333333333333,2,hdbscan;kmediods,False,False,False
46,0.3333333333333333,2,hdbscan;kmediods,False,False,False
