,framed,domain,efficiency,hdbscan,kmediods,topsis,weight,con50,con75,con90
framed,1.0,0.24489795918367346,0.20408163265306123,0.8163265306122449,0.8163265306122449,0.20408163265306123,0.20408163265306123,0.3469387755102041,0.14285714285714285,0.08163265306122448
domain,1.0,1.0,0.5833333333333334,1.0,1.0,0.5,0.5833333333333334,1.0,0.5,0.3333333333333333
efficiency,1.0,0.7,1.0,1.0,1.0,0.9,0.5,1.0,0.7,0.4
hdbscan,1.0,0.3,0.25,1.0,1.0,0.25,0.25,0.425,0.175,0.1
kmediods,1.0,0.3,0.25,1.0,1.0,0.25,0.25,0.425,0.175,0.1
topsis,1.0,0.6,0.9,1.0,1.0,1.0,0.6,1.0,0.7,0.4
weight,1.0,0.7,0.5,1.0,1.0,0.6,1.0,1.0,0.5,0.4
con50,1.0,0.7058823529411765,0.5882352941176471,1.0,1.0,0.5882352941176471,0.5882352941176471,1.0,0.4117647058823529,0.23529411764705882
con75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.5714285714285714
con90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
