soi,requirement,frequency
framed,req_1,0.12244897959183673
framed,req_2,0.6326530612244898
framed,req_3,0.3673469387755102
framed,req_4,0.0
framed,req_5,0.22448979591836735
framed,req_6,0.0
framed,req_7,0.10204081632653061
framed,req_8,0.0
framed,req_9,0.0
framed,req_10,0.0
framed,req_11,0.0
framed,req_12,0.0
framed,req_13,0.3877551020408163
framed,req_14,0.10204081632653061
framed,req_15,0.40816326530612246
framed,req_16,0.8163265306122449
framed,req_17,0.5102040816326531
framed,req_18,0.8775510204081632
framed,req_19,1.0
framed,req_20,0.02040816326530612
framed,req_21,0.0
framed,req_22,0.0
framed,req_23,0.02040816326530612
framed,req_24,0.6326530612244898
framed,req_25,0.5714285714285714
framed,req_26,0.02040816326530612
framed,req_27,0.6122448979591837
framed,req_28,0.02040816326530612
framed,req_29,0.0
framed,req_30,0.0
framed,req_31,0.0
framed,req_32,0.0
framed,req_33,0.0
framed,req_34,0.0
framed,req_35,0.0
framed,req_36,0.0
framed,req_37,0.0
framed,req_38,0.3673469387755102
framed,req_39,0.24489795918367346
framed,req_40,0.0
framed,req_41,0.061224489795918366
framed,req_42,0.6122448979591837
domain,req_1,0.25
domain,req_2,0.6666666666666666
domain,req_3,0.5833333333333334
domain,req_4,0.0
domain,req_5,0.08333333333333333
domain,req_6,0.0
domain,req_7,0.16666666666666666
domain,req_8,0.0
domain,req_9,0.0
domain,req_10,0.0
domain,req_11,0.0
domain,req_12,0.0
domain,req_13,0.5833333333333334
domain,req_14,0.3333333333333333
domain,req_15,0.5833333333333334
domain,req_16,0.9166666666666666
domain,req_17,0.5833333333333334
domain,req_18,0.9166666666666666
domain,req_19,1.0
domain,req_20,0.08333333333333333
domain,req_21,0.0
domain,req_22,0.0
domain,req_23,0.08333333333333333
domain,req_24,0.6666666666666666
domain,req_25,0.5833333333333334
domain,req_26,0.08333333333333333
domain,req_27,0.6666666666666666
domain,req_28,0.08333333333333333
domain,req_29,0.0
domain,req_30,0.0
domain,req_31,0.0
domain,req_32,0.0
domain,req_33,0.0
domain,req_34,0.0
domain,req_35,0.0
domain,req_36,0.0
domain,req_37,0.0
domain,req_38,0.3333333333333333
domain,req_39,0.3333333333333333
domain,req_40,0.0
domain,req_41,0.08333333333333333
domain,req_42,0.6666666666666666
efficiency,req_1,0.1
efficiency,req_2,1.0
efficiency,req_3,0.8
efficiency,req_4,0.0
efficiency,req_5,0.3
efficiency,req_6,0.0
efficiency,req_7,0.3
efficiency,req_8,0.0
efficiency,req_9,0.0
efficiency,req_10,0.0
efficiency,req_11,0.0
efficiency,req_12,0.0
efficiency,req_13,0.4
efficiency,req_14,0.0
efficiency,req_15,0.4
efficiency,req_16,1.0
efficiency,req_17,0.7
efficiency,req_18,1.0
efficiency,req_19,1.0
efficiency,req_20,0.1
efficiency,req_21,0.0
efficiency,req_22,0.0
efficiency,req_23,0.1
efficiency,req_24,1.0
efficiency,req_25,0.9
efficiency,req_26,0.1
efficiency,req_27,1.0
efficiency,req_28,0.1
efficiency,req_29,0.0
efficiency,req_30,0.0
efficiency,req_31,0.0
efficiency,req_32,0.0
efficiency,req_33,0.0
efficiency,req_34,0.0
efficiency,req_35,0.0
efficiency,req_36,0.0
efficiency,req_37,0.0
efficiency,req_38,0.0
efficiency,req_39,0.4
efficiency,req_40,0.0
efficiency,req_41,0.0
efficiency,req_42,1.0
hdbscan,req_1,0.15
hdbscan,req_2,0.775
hdbscan,req_3,0.45
hdbscan,req_4,0.0
hdbscan,req_5,0.275
hdbscan,req_6,0.0
hdbscan,req_7,0.125
hdbscan,req_8,0.0
hdbscan,req_9,0.0
hdbscan,req_10,0.0
hdbscan,req_11,0.0
hdbscan,req_12,0.0
hdbscan,req_13,0.375
hdbscan,req_14,0.125
hdbscan,req_15,0.375
hdbscan,req_16,0.875
