c:\Users\imagu\ANRPDecisionSpace\data\Comparativa\fig_solution_consensus_membership.png c:\Users\imagu\ANRPDecisionSpace\data\Comparativa\fig_pairwise_jaccard.png c:\Users\imagu\ANRPDecisionSpace\data\Comparativa\fig_pairwise_overlap.png c:\Users\imagu\ANRPDecisionSpace\data\Comparativa\fig_requirement_frequency_heatmap.png c:\Users\imagu\ANRPDecisionSpace\data\Comparativa\fig_soi_summary_bars.png,framed,domain,efficiency,hdbscan,kmediods,topsis,weight,con50,con75,con90
framed,1.0,0.24489795918367346,0.20408163265306123,0.8163265306122449,0.8163265306122449,0.20408163265306123,0.20408163265306123,0.3469387755102041,0.14285714285714285,0.08163265306122448
domain,0.24489795918367346,1.0,0.4666666666666667,0.3,0.3,0.375,0.4666666666666667,0.7058823529411765,0.46153846153846156,0.3333333333333333
efficiency,0.20408163265306123,0.4666666666666667,1.0,0.25,0.25,0.8181818181818182,0.3333333333333333,0.5882352941176471,0.7,0.4
hdbscan,0.8163265306122449,0.3,0.25,1.0,1.0,0.25,0.25,0.425,0.175,0.1
kmediods,0.8163265306122449,0.3,0.25,1.0,1.0,0.25,0.25,0.425,0.175,0.1
topsis,0.20408163265306123,0.375,0.8181818181818182,0.25,0.25,1.0,0.42857142857142855,0.5882352941176471,0.7,0.4
weight,0.20408163265306123,0.4666666666666667,0.3333333333333333,0.25,0.25,0.42857142857142855,1.0,0.5882352941176471,0.4166666666666667,0.4
con50,0.3469387755102041,0.7058823529411765,0.5882352941176471,0.425,0.425,0.5882352941176471,0.5882352941176471,1.0,0.4117647058823529,0.23529411764705882
con75,0.14285714285714285,0.46153846153846156,0.7,0.175,0.175,0.7,0.4166666666666667,0.4117647058823529,1.0,0.5714285714285714
con90,0.08163265306122448,0.3333333333333333,0.4,0.1,0.1,0.4,0.4,0.23529411764705882,0.5714285714285714,1.0
