,framed,domain,efficiency,hdbscan,kmediods,topsis,weight,con50,con75,con90
framed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
domain,1.0,1.0,0.7,1.0,1.0,0.6,0.7,1.0,0.8571428571428571,1.0
efficiency,1.0,0.7,1.0,1.0,1.0,0.9,0.5,1.0,1.0,1.0
hdbscan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmediods,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
topsis,1.0,0.6,0.9,1.0,1.0,1.0,0.6,1.0,1.0,1.0
weight,1.0,0.7,0.5,1.0,1.0,0.6,1.0,1.0,0.7142857142857143,1.0
con50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
con75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0
con90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
