soi,size,selectivity_vs_framed,unique_solution_count_excluding_framed,req_density,active_req_count,core_req_count,core_req_ratio,variable_req_count,req_variability,satisfaction_mean,satisfaction_std,satisfaction_min,satisfaction_max,satisfaction_spread,effort_mean,effort_std,effort_min,effort_max,effort_spread,time_mean,time_std,time_min,time_max,time_spread,productivity_mean,productivity_std,productivity_min,productivity_max,productivity_spread,scope_mean,scope_std,scope_min,scope_max,scope_spread,squandering_mean,squandering_std,squandering_min,squandering_max,squandering_spread,stcov_cv1_mean,stcov_cv1_std,stcov_cv1_min,stcov_cv1_max,stcov_cv1_spread,stcov_cv2_mean,stcov_cv2_std,stcov_cv2_min,stcov_cv2_max,stcov_cv2_spread,stcov_cv3_mean,stcov_cv3_std,stcov_cv3_min,stcov_cv3_max,stcov_cv3_spread,stcov_cv4_mean,stcov_cv4_std,stcov_cv4_min,stcov_cv4_max,stcov_cv4_spread,response_mean,response_std,response_min,response_max,response_spread,opportunity_mean,opportunity_std,opportunity_min,opportunity_max,opportunity_spread
framed,49,1.0,0,0.20796890184645286,23,1,0.043478260869565216,22,0.08149382201860336,1862.834693877551,631.2436295256714,309.0,2814.0,2505.0,288.1020408163265,109.16589975493471,25.0,420.0,395.0,1691.4489795918366,573.6597534279709,273.0,2543.0,2270.0,6.89791244694633,1.426846611898387,5.758241758241758,12.36,6.601758241758241,0.2079689018464528,0.06003676164994126,0.0476190476190476,0.3333333333333333,0.2857142857142857,0.7966816931430301,0.07704015508463989,0.7035991531404375,0.9823570924488356,0.2787579393083981,0.26256216772410995,0.09546317237010936,0.0336134453781355,0.4117647058821607,0.3781512605040252,0.31702319481967234,0.11732724306166528,0.0763052208834319,0.485943775099751,0.4096385542163191,0.3081632653059357,0.10012867058160095,0.0666666666666262,0.4606060606057814,0.3939393939391552,0.25771752744405774,0.08108221938595098,0.0361010830324723,0.382671480144207,0.3465703971117347,,,,,,,,,,
domain,12,0.24489795918367346,0,0.24603174603174602,23,1,0.043478260869565216,22,0.0882936507936508,2265.375,429.60586224468585,1636.4,2814.0,1177.6,351.25,66.14394026162437,225.0,420.0,195.0,2023.25,461.21887880556955,1336.0,2543.0,1207.0,6.45990642276539,0.3087964142428654,6.136,7.27288888888889,1.1368888888888895,0.24603174603174602,0.047948595133311823,0.1666666666666666,0.3333333333333333,0.1666666666666667,0.7521171489061399,0.04667885692422327,0.7035991531404375,0.8412138320395202,0.13761467889908263,0.3137254901959319,0.07993015727380177,0.1974789915965464,0.4117647058821607,0.2142857142856143,0.37115127175318446,0.10653877872235067,0.2088353413651822,0.485943775099751,0.27710843373456884,0.36388888888866827,0.08329621150526136,0.2454545454543966,0.4606060606057814,0.2151515151513848,0.30716004813461895,0.05760090300065597,0.2238267148013286,0.382671480144207,0.1588447653428784,5.718809365207695,0.3293763410697384,5.109090909090909,6.054761904761905,0.9456709956709952,1.131739444174814,0.05758537695030823,1.0583405358686258,1.2248502994011976,0.16650976353257185
efficiency,10,0.20408163265306123,0,0.2785714285714286,20,7,0.35,13,0.0488095238095238,2558.29,141.56990110895748,2318.0,2814.0,496.0,399.0,12.529964086141668,380.0,420.0,40.0,2349.1,108.25105080321391,2170.0,2543.0,373.0,6.408759353463237,0.21776191843835993,6.1,6.758186397984887,0.6581863979848874,0.2785714285714286,0.02142857142857142,0.2619047619047619,0.3333333333333333,0.0714285714285714,0.7184191954834156,0.008842599919648314,0.7035991531404375,0.7318278052223006,0.028228652081863093,0.3701680672267179,0.020364068598398295,0.3445378151258895,0.4117647058821607,0.0672268907562712,0.4449799196781192,0.022273774496134113,0.4136546184733418,0.485943775099751,0.07228915662640922,0.42212121212095627,0.021257527160345405,0.3818181818179504,0.4606060606057814,0.078787878787831,0.3505415162453065,0.018297943534249315,0.321299638989004,0.382671480144207,0.061371841155203,5.885148483556578,0.11084160282550054,5.7105263157894735,6.054761904761905,0.3442355889724311,1.088823434103704,0.024999664261675072,1.0583405358686258,1.1333930170098478,0.0750524811412221
hdbscan,40,0.8163265306122449,0,0.22976190476190475,23,1,0.043478260869565216,22,0.07604166666666666,2096.1475,412.36744960502153,1388.0,2814.0,1426.0,331.75,61.494613585256396,209.0,420.0,211.0,1899.325,384.2799362118715,1189.0,2543.0,1354.0,6.3213743665264435,0.3506077575380916,5.758241758241758,7.27288888888889,1.5146471306471314,0.22976190476190475,0.03932177277360418,0.1666666666666666,0.3333333333333333,0.1666666666666667,0.7658786167960481,0.04339775129517036,0.7035991531404375,0.8525052928722654,0.14890613973182787,0.29674369747885304,0.0659857027598618,0.1722689075629447,0.4117647058821607,0.239495798319216,0.358232931726428,0.08503820474451407,0.1887550200800686,0.485943775099751,0.29718875501968245,0.34371212121191286,0.06968012807054821,0.2181818181816859,0.4606060606057814,0.24242424242409552,0.28772563176880467,0.04997229745149478,0.2021660649818452,0.382671480144207,0.1805054151623618,5.718787346211909,0.29689482175778564,5.109090909090909,6.469298245614035,1.3602073365231258,1.1062462261885522,0.049458870140693646,1.0404040404040404,1.2450798990748528,0.2046758586708124
kmediods,40,0.8163265306122449,0,0.22976190476190475,23,1,0.043478260869565216,22,0.07604166666666666,2096.1475,412.36744960502153,1388.0,2814.0,1426.0,331.75,61.494613585256396,209.0,420.0,211.0,1899.325,384.2799362118715,1189.0,2543.0,1354.0,6.3213743665264435,0.3506077575380916,5.758241758241758,7.27288888888889,1.5146471306471314,0.22976190476190475,0.03932177277360418,0.1666666666666666,0.3333333333333333,0.1666666666666667,0.7658786167960481,0.04339775129517036,0.7035991531404375,0.8525052928722654,0.14890613973182787,0.29674369747885304,0.0659857027598618,0.1722689075629447,0.4117647058821607,0.239495798319216,0.358232931726428,0.08503820474451407,0.1887550200800686,0.485943775099751,0.29718875501968245,0.34371212121191286,0.06968012807054821,0.2181818181816859,0.4606060606057814,0.24242424242409552,0.28772563176880467,0.04997229745149478,0.2021660649818452,0.382671480144207,0.1805054151623618,5.718787346211909,0.29689482175778564,5.109090909090909,6.469298245614035,1.3602073365231258,1.1062462261885522,0.049458870140693646,1.0404040404040404,1.2450798990748528,0.2046758586708124
topsis,10,0.20408163265306123,0,0.2785714285714286,20,8,0.4,12,0.04690476190476191,2566.09,137.42151541880187,2318.0,2814.0,496.0,397.5,13.647344063956181,380.0,420.0,40.0,2342.4,112.21693276863346,2170.0,2543.0,373.0,6.453579603204747,0.213033309888704,6.1,6.758186397984887,0.6581863979848874,0.2785714285714286,0.02142857142857142,0.2619047619047619,0.3333333333333333,0.0714285714285714,0.7194777699364854,0.009631153185572464,0.7035991531404375,0.7318278052223006,0.028228652081863093,0.3705882352939446,0.020220520026067824,0.3445378151258895,0.4117647058821607,0.0672268907562712,0.4449799196781191,0.022273774496134113,0.4136546184733418,0.485943775099751,0.07228915662640922,0.42212121212095627,0.021257527160345405,0.3818181818179504,0.4606060606057814,0.078787878787831,0.347292418772384,0.020788707651813055,0.3176895306857567,0.382671480144207,0.06498194945845026,5.890568828740701,0.10999123654691166,5.7105263157894735,6.054761904761905,0.3442355889724311,1.0954504397068725,0.024823725904202266,1.0670781893004115,1.1333930170098478,0.06631482770943631
weight,10,0.20408163265306123,0,0.25476190476190474,23,2,0.08695652173913043,21,0.08928571428571429,2379.3100000000004,428.07517202005533,1636.4,2814.0,1177.6,361.9,66.73896912599115,225.0,420.0,195.0,2102.0,441.6057064848687,1336.0,2543.0,1207.0,6.590271914197632,0.27589622946527775,6.26043165467626,7.27288888888889,1.0124572342126292,0.2547619047619047,0.039912034795810056,0.1904761904761904,0.3333333333333333,0.1428571428571429,0.7446012702893438,0.04709877849399518,0.7035991531404375,0.8412138320395202,0.13761467889908263,0.32899159663850186,0.07774925974384163,0.1974789915965464,0.4117647058821607,0.2142857142856143,0.38313253011996895,0.1039408327585468,0.2088353413651822,0.485943775099751,0.27710843373456884,0.37969696969673955,0.0807227453457433,0.2454545454543966,0.4606060606057814,0.2151515151513848,0.31624548736445784,0.05256892895092566,0.2238267148013286,0.382671480144207,0.1588447653428784,5.781370319422808,0.27295710187954947,5.197841726618705,6.054761904761905,0.8569201781431994,1.14114119952941,0.0449824698724118,1.0813593813593814,1.2248502994011976,0.14349091804181624
con50,17,0.3469387755102041,0,0.2507002801120448,23,1,0.043478260869565216,22,0.08156203657933762,2335.6176470588234,383.0987865770611,1636.4,2814.0,1177.6,363.1764705882353,59.05355026844668,225.0,420.0,195.0,2095.0588235294117,405.56184276198655,1336.0,2543.0,1207.0,6.439593698403193,0.28441373963696076,6.1,7.27288888888889,1.17288888888889,0.25070028011204476,0.04173575469398137,0.1666666666666666,0.3333333333333333,0.1666666666666667,0.7437004441861431,0.04167505311816986,0.7035991531404375,0.8412138320395202,0.13761467889908263,0.32649530400380206,0.07020061502047392,0.1974789915965464,0.4117647058821607,0.2142857142856143,0.3874320812657227,0.09313274198203596,0.2088353413651822,0.485943775099751,0.27710843373456884,0.37718360071278384,0.07354793695222114,0.2454545454543966,0.4606060606057814,0.2151515151513848,0.3179018899977124,0.0527891250435912,0.2238267148013286,0.382671480144207,0.1588447653428784,5.7389862874361075,0.2804689708632398,5.109090909090909,6.054761904761905,0.9456709956709952,1.1236016536787485,0.052056862260904044,1.0583405358686258,1.2248502994011976,0.16650976353257185
con75,7,0.14285714285714285,0,0.282312925170068,20,8,0.4,12,0.04859086491739553,2624.842857142857,110.9751820021403,2437.0,2814.0,377.0,402.85714285714283,12.368491898236206,386.0,420.0,34.0,2391.0,96.60523499568453,2234.0,2543.0,309.0,6.515040079591675,0.17113327920339183,6.26478149100257,6.758186397984887,0.49340490698231676,0.28231292517006806,0.023565317109780635,0.2619047619047619,0.3333333333333333,0.0714285714285714,0.7156971468898075,0.008728646364316308,0.7035991531404375,0.7275935074100212,0.02399435426958363,0.3781512605040251,0.018924229016118965,0.3529411764704234,0.4117647058821607,0.058823529411737296,0.4532415375782802,0.021831666770413063,0.4136546184733418,0.485943775099751,0.07228915662640922,0.43160173160147003,0.01658635849407482,0.4090909090906611,0.4606060606057814,0.05151515151512032,0.3522434244454088,0.017565122605381775,0.3321299638987456,0.382671480144207,0.05054151624546138,5.933728979506428,0.09164900049981442,5.787564766839378,6.054761904761905,0.2671971379225262,1.0979885878687603,0.02431062306345202,1.0670781893004115,1.1333930170098478,0.06631482770943631
con90,4,0.08163265306122448,0,0.2916666666666667,18,9,0.5,9,0.043154761904761904,2702.975,64.94460620405668,2656.9,2814.0,157.0999999999999,410.0,9.82344135219425,397.0,420.0,23.0,2447.5,60.67330549755798,2394.0,2543.0,149.0,6.594611109527177,0.15999541181016247,6.341050119331743,6.758186397984887,0.4171362786531443,0.29166666666666663,0.025945827044884955,0.2619047619047619,0.3333333333333333,0.0714285714285714,0.7106563161609034,0.006932562704441961,0.7035991531404375,0.7198306280875089,0.016231474947071334,0.3897058823527592,0.014966183664672656,0.3697478991594912,0.4117647058821607,0.0420168067226695,0.46586345381463734,0.014755962305903004,0.4497991967865464,0.485943775099751,0.03614457831320461,0.441666666666399,0.011004423519943275,0.4333333333330707,0.4606060606057814,0.027272727272710684,0.3519855595666055,0.019357049268516422,0.3321299638987456,0.382671480144207,0.05054151624546138,5.969910872040802,0.07681298046393402,5.863961813842482,6.054761904761905,0.19080009091942252,1.104498451459082,0.014372816491536326,1.0813593813593814,1.120718462823726,0.039359081464344525
